id,title,tagline,homepage,release_date,genre,budget,keywords,original_language,revenue,runtime,status,vote_average,vote_count,director
19995,Avatar,Enter the World of Pandora.,http://www.avatarmovie.com/,10/12/2009,Action,237000000,culture clash future space war space colony society,en,2787965087,162,Released,7.2,11800,James Cameron
285,Pirates of the Caribbean: At World's End,"At the end of the world, the adventure begins.",http://disney.go.com/disneypictures/pirates/,19/05/2007,Adventure,300000000,ocean drug abuse exotic island east india trading company love of one's life,en,961000000,169,Released,6.9,4500,Gore Verbinski
206647,Spectre,A Plan No One Escapes,http://www.sonypictures.com/movies/spectre/,26/10/2015,Action,245000000,spy based on novel secret agent sequel mi6,en,880674609,148,Released,6.3,4466,Sam Mendes
49026,The Dark Knight Rises,The Legend Ends,http://www.thedarkknightrises.com/,16/07/2012,Action,250000000,dc comics crime fighter terrorist secret identity burglar,en,1084939099,165,Released,7.6,9106,Christopher Nolan
49529,John Carter,"Lost in our world, found in another.",http://movies.disney.com/john-carter,07/03/2012,Action,260000000,based on novel mars medallion space travel princess,en,284139100,132,Released,6.1,2124,Andrew Stanton
559,Spider-Man 3,The battle within.,http://www.sonypictures.com/movies/spider-man3/,01/05/2007,Fantasy,258000000,dual identity amnesia sandstorm love of one's life forgiveness,en,890871626,139,Released,5.9,3576,Sam Raimi
38757,Tangled,They're taking adventure to new lengths.,http://disney.go.com/disneypictures/tangled/,24/11/2010,Animation,260000000,hostage magic horse fairy tale musical,en,591794936,100,Released,7.4,3330,Byron Howard
99861,Avengers: Age of Ultron,A New Age Has Come.,http://marvel.com/movies/movie/193/avengers_age_of_ultron,22/04/2015,Action,280000000,marvel comic sequel superhero based on comic book vision,en,1405403694,141,Released,7.3,6767,Joss Whedon
767,Harry Potter and the Half-Blood Prince,Dark Secrets Revealed,http://harrypotter.warnerbros.com/harrypotterandthehalf-bloodprince/dvd/index.html,07/07/2009,Adventure,250000000,witch magic broom school of witchcraft wizardry,en,933959197,153,Released,7.4,5293,David Yates
209112,Batman v Superman: Dawn of Justice,Justice or revenge,http://www.batmanvsupermandawnofjustice.com/,23/03/2016,Action,250000000,dc comics vigilante superhero based on comic book revenge,en,873260194,151,Released,5.7,7004,Zack Snyder
1452,Superman Returns,,http://www.superman.com,28/06/2006,Adventure,270000000,saving the world dc comics invulnerability sequel superhero,en,391081192,154,Released,5.4,1400,Bryan Singer
10764,Quantum of Solace,"For love, for hate, for justice, for revenge.",http://www.mgm.com/view/movie/234/Quantum-of-Solace/,30/10/2008,Adventure,200000000,killing undercover secret agent british secret service,en,586090727,106,Released,6.1,2965,Marc Forster
58,Pirates of the Caribbean: Dead Man's Chest,Jack is back!,http://disney.go.com/disneypictures/pirates/,20/06/2006,Adventure,200000000,witch fortune teller bondage exotic island monster,en,1065659812,151,Released,7,5246,Gore Verbinski
57201,The Lone Ranger,Never Take Off the Mask,http://disney.go.com/the-lone-ranger/,03/07/2013,Action,255000000,texas horse survivor texas ranger partner,en,89289910,149,Released,5.9,2311,Gore Verbinski
49521,Man of Steel,You will believe that a man can fly.,http://www.manofsteel.com/,12/06/2013,Action,225000000,saving the world dc comics superhero based on comic book superhuman,en,662845518,143,Released,6.5,6359,Zack Snyder
2454,The Chronicles of Narnia: Prince Caspian,Hope has a new face.,,15/05/2008,Adventure,225000000,based on novel fictional place brother sister relationship lion human being,en,419651413,150,Released,6.3,1630,Andrew Adamson
24428,The Avengers,Some assembly required.,http://marvel.com/avengers_movie/,25/04/2012,Science,220000000,new york shield marvel comic superhero based on comic book,en,1519557910,143,Released,7.4,11776,Joss Whedon
1865,Pirates of the Caribbean: On Stranger Tides,Live Forever Or Die Trying.,http://disney.go.com/pirates/index-on-stranger-tides.html#/video/,14/05/2011,Adventure,380000000,sea captain mutiny sword prime minister,en,1045713802,136,Released,6.4,4948,Rob Marshall
41154,Men in Black 3,They are back... in time.,http://www.sonypictures.com/movies/meninblack3/,23/05/2012,Action,225000000,time travel time machine alien fictional government agency seeing the future,en,624026776,106,Released,6.2,4160,Barry Sonnenfeld
122917,The Hobbit: The Battle of the Five Armies,Witness the defining chapter of the Middle-Earth saga,http://www.thehobbit.com/,10/12/2014,Action,250000000,corruption elves dwarves orcs middle-earth (tolkien),en,956019788,144,Released,7.1,4760,Peter Jackson
1930,The Amazing Spider-Man,The untold story begins.,http://www.theamazingspiderman.com,27/06/2012,Action,215000000,loss of father vigilante serum marvel comic scientific experiment,en,752215857,136,Released,6.5,6586,Marc Webb
20662,Robin Hood,"Rise and rise again, until lambs become lions.",http://www.robinhoodthemovie.com/,12/05/2010,Action,200000000,robin hood archer knight sherwood forest bow and arrow,en,310669540,140,Released,6.2,1398,Ridley Scott
57158,The Hobbit: The Desolation of Smaug,Beyond darkness... beyond desolation... lies the greatest danger of all.,http://www.thehobbit.com/,11/12/2013,Adventure,250000000,elves dwarves orcs hobbit dragon,en,958400000,161,Released,7.6,4524,Peter Jackson
2268,The Golden Compass,There are worlds beyond our own - the compass will show the way.,http://www.goldencompassmovie.com/index_german.html,04/12/2007,Adventure,180000000,england compass experiment lordship uncle,en,372234864,113,Released,5.8,1303,Chris Weitz
254,King Kong,The eighth wonder of the world.,,14/12/2005,Adventure,207000000,film business screenplay show business film making film producer,en,550000000,187,Released,6.6,2337,Peter Jackson
597,Titanic,Nothing on Earth could come between them.,http://www.titanicmovie.com,18/11/1997,Drama,200000000,shipwreck iceberg ship panic titanic,en,1845034188,194,Released,7.5,7562,James Cameron
271110,Captain America: Civil War,Divided We Fall,http://marvel.com/captainamericapremiere,27/04/2016,Adventure,250000000,civil war war marvel comic sequel superhero,en,1153304495,147,Released,7.1,7241,Anthony Russo
44833,Battleship,The Battle for Earth Begins at Sea,,11/04/2012,Thriller,209000000,fight u.s. navy mind reading hong kong soccer,en,303025485,131,Released,5.5,2114,Peter Berg
